species,TACmodeled,envStochModeled,note,invasive
Escontria_chiotilla,NA,NA,samePop,no
Espeletia_timotensis,no,no,samePop,no
Harrisia_fragrans,no,yes,samePop,no
Lophophora_diffusa,NA,NA,samePop,no
Mammillaria_crucigera,no,no,samePop,no
Mammillaria_dixanthocentron_2,no,no,samePop,no
Mammillaria_hernandezii_2,NA,NA,samePop,no
Mammillaria_huitzilopochtli,no,yes,samePop,no
Mammillaria_magnimamma,no,no,samePop,no
Mammillaria_mystax,NA,NA,samePop,no
Mammillaria_napina,NA,NA,samePop,no
Mammillaria_pectinifera,no,yes,samePop,no
Mammillaria_pectinifera_3,no,yes,samePop,no
Mammillaria_supertexta,NA,NA,samePop,no
Neobuxbaumia_macrocephala,no,no,samePop,no
Neobuxbaumia_mezcalaensis,no,no,samePop,no
Neobuxbaumia_polylopha,no,no,samePop,no
Neobuxbaumia_tetetzo,no,no,samePop,no
Pachycereus_pecten-aboriginum,no,no,samePop,no
Stenocactus_crispatus,NA,NA,samePop,no
Abies_concolor,no,no,samePop,no
Abies_magnifica,no,no,samePop,no
Abies_sachalinensis_2,no,no,samePop,no
Acer_mono,yes,no,samePop,no
Acer_rufinerve,yes,no,samePop,no
Annamocarya_sinensis,no,no,samePop,no
Aquilaria_crassna,no,no,samePop,no
Aquilaria_malaccensis,yes,yes,samePop,no
Aquilaria_microcarpa,yes,yes,samePop,no
Araucaria_araucana,NA,NA,samePop,no
Araucaria_cunninghamii,no,no,samePop,no
Araucaria_hunsteinii,no,no,samePop,no
Avicennia_germinans,yes,no,samePop,no
Bertholletia_excelsa,no,no,samePop,no
Brosimum_alicastrum,NA,NA,samePop,no
Calocedrus_decurrens,no,no,samePop,no
Calocedrus_macrolepis,no,no,samePop,no
Camellia_japonica_2,NA,NA,samePop,no
Castanea_dentata,no,no,samePop,no
Cecropia_obtusifolia,yes,no,samePop,no
Chlorocardium_rodiei,no,no,samePop,no
Choerospodnias_axillaris,no,no,samePop,no
Dacrydium_elatum,no,no,samePop,no
Dicorynia_guianensis,NA,NA,samePop,no
Dicymbe_altsonii,NA,NA,samePop,no
Duguetia_neglecta,NA,NA,samePop,no
Entandrophragma_cylindricum,no,no,samePop,no
Eperua_falcata,no,no,samePop,no
Fagus_grandifolia,no,yes,samePop,no
Grias_peruviana,NA,NA,samePop,no
Guettarda_viburnoides,no,yes,samePop,no
Juniperus_procera,no,no,samePop,no
Khaya_senegalensis,yes,yes,samePop,no
Manglietia_fordiana,no,no,samePop,no
Nothofagus_fusca,no,no,samePop,no
Oxandra_asbeckii,no,no,samePop,no
Parashorea_chinensis,no,no,samePop,no
Parkinsonia_aculeata,no,no,samePop,yes
Pentaclethra_macroloba,NA,NA,samePop,no
Phyllanthus_emblica_3,no,yes,samePop,no
Phyllanthus_indofischeri,no,yes,samePop,no
Pinus_jeffreyi,no,no,samePop,no
Pinus_kwangtungensis,no,no,samePop,no
Pinus_lambertiana_2,no,no,samePop,no
Manilkara_zapota,no,no,samePop,no
Pinus_nigra,yes,yes,differentPop,no
Pinus_palustris,yes,yes,differentPop,no
Pinus_ponderosa,no,no,samePop,no
Pinus_strobus,no,no,samePop,yes
Pinus_sylvestris,no,no,samePop,no
Prioria_copaifera,no,no,samePop,no
Prosopis_laevigata,NA,NA,samePop,no
Prunus_africana,no,yes,samePop,no
Prunus_serotina,yes,yes,samePop,yes
Psidium_guajava,no,no,samePop,no
Pterocarpus_angolensis,no,yes,samePop,no
Quercus_rugosa,NA,NA,samePop,no
Rhizophora_mangle,yes,no,samePop,no
Rhododendron_ponticum_2,no,no,samePop,yes
Sapium_sebiferum,NA,NA,samePop,no
Scaphium_borneense,no,no,samePop,no
Shorea_acuminata,no,no,samePop,no
Shorea_bracteolata,no,no,samePop,no
Shorea_leprosula,no,yes,samePop,no
Shorea_maxwelliana,no,no,samePop,no
Shorea_ovalis,no,no,samePop,no
Stryphnodendron_excelsum,NA,NA,samePop,no
Styrax_obassia,yes,no,samePop,no
Swietenia_macrophylla,yes,yes,samePop,no
Syzygium_jambos,no,yes,samePop,no
Taxus_brevifolia,no,yes,samePop,no
Taxus_floridana,no,yes,samePop,no
Tetraberlinia_bifoliolata,no,no,samePop,no
Tsuga_canadensis,no,no,samePop,no
Vatica_hainanensis,NA,NA,samePop,no
Vochysia_ferruginea,NA,NA,samePop,no
Astroblepus_ubidiai,no,yes,samePop,no
Brachyrhaphis_rhabdophora,no,no,samePop,no
Cottus_sp._3,no,yes,samePop,no
Notropis_photogenis,NA,NA,samePop,no
Poecilia_reticulata,no,no,samePop,no
Pylodictis_olivaris,yes,yes,samePop,no
Rutilus_rutilus,no,no,samePop,no
Salvelinus_confluentus_2,NA,NA,samePop,no
Sardina_pilchardus,no,no,samePop,no
Stellifer_illecebrosus,no,no,samePop,no
Zoarces_viviparus,no,yes,samePop,no
Epidalea_calamita,no,yes,samePop,no
Leptogorgia_virgulata,no,yes,samePop,no
Paramuricea_clavata,no,yes,samePop,no
Anser_caerulescens,no,no,samePop,no
Anthropoides_paradiseus,no,yes,samePop,no
Bostrychia_hagedash,no,no,samePop,no
Buteo_solitarius,no,no,samePop,no
Calyptorhynchus_lathami_2,no,yes,samePop,no
Centrocercus_minimus,no,no,samePop,no
Coragyps_atratus_2,no,no,samePop,no
Diomedea_melanophris,no,no,samePop,no
Fulmarus_glacialis,no,no,samePop,no
Haliaeetus_albicilla,no,no,samePop,no
Milvus_migrans,no,no,samePop,no
Pernis_apivorus_2,no,yes,samePop,no
Phalacrocorax_auritus_2,no,no,samePop,no
Phoebastria_immutabilis,no,no,samePop,no
Picoides_borealis,yes,yes,samePop,no
Sterna_hirundo_2,no,no,samePop,no
Thalassarche_melanophrys,no,yes,samePop,no
Tympanuchus_cupido,yes,yes,samePop,no
Mya_arenaria,yes,yes,samePop,no
Nuttallia_obscurata,no,no,samePop,no
Daphnia_magna,no,no,samePop,no
Daphnia_pulex_3,no,no,samePop,no
Spongia_graminea,no,no,samePop,no
Xestospongia_muta,no,no,samePop,no
Haliotis_laevigata,no,no,samePop,no
Haliotis_rufescens,no,no,samePop,no
Helix_aspersa,yes,yes,samePop,no
Lepetodrilus_fucensis,no,yes,samePop,no
Umbonium_costatum,no,yes,samePop,no
Acyrthosiphon_pisum,no,yes,differentPop,no
Boloria_eunomia,yes,yes,samePop,no
Cephaloleia_fenestrata,yes,no,samePop,no
Colias_alexandra,no,yes,samePop,no
Scolytus_ventralis_2,no,yes,samePop,no
Acinonyx_jubatus_2,no,yes,differentPop,no
Alces_alces_9,yes,yes,differentPop,no
Brachyteles_hypoxanthus,no,yes,samePop,no
Callorhinus_ursinus,no,no,samePop,no
Callospermophilus_lateralis,no,yes,samePop,no
Canis_lupus_subsp._familiaris,no,no,samePop,no
Cebus_capucinus,no,yes,samePop,no
Cercopithecus_mitis,no,yes,samePop,no
Clethrionomys_rufocanus,yes,yes,differentPop,no
Didelphis_aurita,no,no,samePop,no
Elephas_maximus_2,no,yes,samePop,no
Enhydra_lutris_2,no,yes,samePop,no
Eumetopias_jubatus,no,yes,differentPop,no
Gorilla_beringei,no,yes,samePop,no
Lagothrix_lagothricha,NA,NA,samePop,no
Lepus_europaeus_3,no,yes,differentPop,no
Macaca_mulatta_2,no,no,samePop,no
